RED,IR,ECG
185669,227696,2108
185693,227803,2217
185755,227800,2237
185852,228310,2239
185771,228349,2119
185718,227755,2163
185730,227736,2251
185805,228251,2250
185772,228212,2148
185573,227268,2224
185497,227227,2171
185535,227289,2100
185790,228113,2120
185785,228188,2227
185788,228123,2232
185799,228442,2253
185846,228394,2146
185617,227557,2146
185574,227497,2224
185772,228167,2124
185609,228243,2142
185787,228329,2199
185242,226602,2189
185216,226620,2142
185534,227687,2170
185664,227793,2264
185658,227845,2278
185777,228318,2289
185758,228299,2157
185444,227229,2177
185502,227343,2093
185717,228070,2123
185753,228162,2230
185770,228298,2223
185713,228359,2139
185712,227996,2114
185574,227674,2188
185523,227656,2255
185486,227639,1710
185730,228325,45
185799,228280,2175
185179,226605,2228
185238,226765,2120
185606,227823,2080
185536,227843,2264
185703,228089,2292
185735,228422,2181
185736,228430,2139
185479,227656,2185
185577,227789,2134
185485,227779,2254
185601,228320,1731
185700,228267,2142
185212,226616,2217
185186,226675,2130
185552,227878,2126
185619,227971,2289
185651,228245,2358
185691,228427,2251
185711,228462,2148
185466,227415,2166
185459,227595,2101
185490,227754,2163
185637,228220,2093
185599,228243,2103
185464,227563,2122
185267,227033,2143
185451,227812,2129
185489,227784,2245
185530,227953,2320
185676,228443,2253
185648,228367,2154
185401,227285,2191
185381,227408,2120
185647,228185,2093
185713,228219,2181
185738,228528,2247
185676,228545,2163
185652,228386,2073
185440,227606,2057
185441,227541,2024
185439,227550,1415
185601,228267,4
185602,228242,1911
185092,226411,1919
185101,226565,1955
185492,227800,1967
185583,227830,2169
185615,228273,2225
185625,228396,2129
185672,228419,2220
185387,227544,2237
185406,227629,778
185414,227666,1843
185575,228270,2197
185501,228329,2118
185185,226971,2152
185263,227157,1769
185498,228026,1834
185526,228041,1959
185647,228380,1957
185574,228363,1852
185498,227845,2096
185400,227478,2153
185396,227562,1295
185361,227477,190
185540,228305,1877
185469,228263,2320
184960,226513,2411
184999,226667,2265
185433,227687,2237
185452,227782,2353
185561,228285,2380
185582,228430,2282
185520,228447,2165
185298,227456,2265
185320,227547,2181
185282,227605,2174
185480,228128,2130
185555,228232,2129
185316,227487,2160
185042,226972,2117
185361,227670,2121
185450,227696,366
185528,228261,998
185595,228404,1891
185561,228413,2188
185057,226765,2220
185112,226892,2149
185211,226966,2165
185425,227979,2130
185385,228047,2309
185522,228534,2321
185500,228575,2231
